,homeTeamCode,awayTeamCode,game_id,time,period,team,teamCode,location,xCordAdjusted,xCordAdjusted,shotType,shotOnEmptyNet,shotRush,shotRebound,shotDistance,shotAngleAdjusted,shooterName,goalieNameForShot,event
1346945,MTL,NYR,30111,1428,2,AWAY,NYR,HOMEZONE,36,36,WRIST,0,0,0,64.0702739186,34.1861224864,Dan Girardi,Carey Price,SHOT
1346946,MTL,NYR,30111,1566,2,AWAY,NYR,HOMEZONE,67,67,WRIST,0,0,0,24.1660919472,24.4439547804,Jesper Fast,Carey Price,MISS
1346947,MTL,NYR,30111,1581,2,AWAY,NYR,HOMEZONE,62,62,WRIST,0,0,0,34.8281495345,39.1736579704,Mats Zuccarello,Carey Price,SHOT
1346948,MTL,NYR,30111,1599,2,AWAY,NYR,HOMEZONE,48,48,SLAP,0,0,0,43.3243580449,18.8531587644,Chris Kreider,Carey Price,SHOT
1346949,MTL,NYR,30111,1604,2,AWAY,NYR,HOMEZONE,57,57,WRIST,0,0,0,49.678969393500005,49.8990924538,Mika Zibanejad,Carey Price,MISS
1346950,MTL,NYR,30111,1612,2,AWAY,NYR,HOMEZONE,78,78,TIP,0,0,0,11.7046999107,19.9831065219,Jimmy Vesey,Carey Price,SHOT
1346951,MTL,NYR,30111,1650,2,HOME,MTL,AWAYZONE,76,76,WRIST,0,0,0,15.2643375225,31.6075022462,Artturi Lehkonen,Henrik Lundqvist,MISS
1346952,MTL,NYR,30111,1675,2,HOME,MTL,AWAYZONE,59,59,SNAP,0,0,0,37.202150475500005,36.2538377374,Andrew Shaw,Henrik Lundqvist,SHOT
1346953,MTL,NYR,30111,1692,2,AWAY,NYR,HOMEZONE,78,78,WRIST,0,0,0,37.6430604494,73.009176708,Oscar Lindberg,Carey Price,SHOT
1346954,MTL,NYR,30111,1705,2,AWAY,NYR,HOMEZONE,63,63,SNAP,0,0,0,29.5296461205,28.300755766,Brendan Smith,Carey Price,SHOT
1346955,MTL,NYR,30111,1750,2,AWAY,NYR,HOMEZONE,51,51,SLAP,0,0,0,40.496913462600006,20.2248594312,Nick Holden,Carey Price,SHOT
1346956,MTL,NYR,30111,1806,2,HOME,MTL,AWAYZONE,36,36,SLAP,0,0,0,55.9732078766,18.7586503478,Shea Weber,Henrik Lundqvist,SHOT
1346957,MTL,NYR,30111,1833,2,HOME,MTL,AWAYZONE,32,32,WRIST,0,0,0,68.5054742338,33.690067526,Shea Weber,Henrik Lundqvist,SHOT
1346958,MTL,NYR,30111,1981,2,HOME,MTL,AWAYZONE,52,52,WRIST,0,0,0,51.6236379966,44.215175397,Max Pacioretty,Henrik Lundqvist,SHOT
